dataset,miss_rate,miss_modality,seed,batch_size,hint_rate,alpha,iterations,generator_sparsity,generator_modality,discriminator_sparsity,discriminator_modality,rmse_mean,rmse_std,rmse_improvement,successes,total_runs,success_rate,imputation_time_mean_total,imputation_time_mean_preparation,imputation_time_mean_s_gain,imputation_time_mean_finalization,imputation_time_std_total,imputation_time_std_preparation,imputation_time_std_s_gain,imputation_time_std_finalization,imputation_time_improvement_total,imputation_time_improvement_preparation,imputation_time_improvement_s_gain,imputation_time_improvement_finalization,imputation_time_min_total,imputation_time_min_preparation,imputation_time_min_s_gain,imputation_time_min_finalization,imputation_time_max_total,imputation_time_max_preparation,imputation_time_max_s_gain,imputation_time_max_finalization
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.0,dense,0.0,dense,0.0531,0.00101,0.0,10,10,1.0,0 days 00:00:27.666673,0 days 00:00:00.313368,0 days 00:00:27.323378,0 days 00:00:00.029928,0 days 00:00:00.969068,0 days 00:00:00.018164,0 days 00:00:00.978424,0 days 00:00:00.003659,0.0,0.0,0.0,0.0,0 days 00:00:25.840627,0 days 00:00:00.301525,0 days 00:00:25.444499,0 days 00:00:00.026281,0 days 00:00:29.557997,0 days 00:00:00.366510,0 days 00:00:29.216771,0 days 00:00:00.040028
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.2,GraSP,0.0,dense,0.0533,0.0013051,-0.005,10,10,1.0,0 days 00:00:26.816711,0 days 00:00:00.603243,0 days 00:00:26.184451,0 days 00:00:00.029017,0 days 00:00:00.297862,0 days 00:00:00.011378,0 days 00:00:00.301025,0 days 00:00:00.002219,0.032,-0.481,0.043,0.031,0 days 00:00:26.315601,0 days 00:00:00.589760,0 days 00:00:25.671815,0 days 00:00:00.026785,0 days 00:00:27.375360,0 days 00:00:00.623806,0 days 00:00:26.732598,0 days 00:00:00.034503
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.2,SNIP,0.0,dense,0.0534,0.0009661,-0.006,10,10,1.0,0 days 00:00:24.116817,0 days 00:00:00.468880,0 days 00:00:23.622321,0 days 00:00:00.025616,0 days 00:00:00.137492,0 days 00:00:00.006718,0 days 00:00:00.138496,0 days 00:00:00.000745,0.147,-0.332,0.157,0.168,0 days 00:00:23.833524,0 days 00:00:00.459765,0 days 00:00:23.341847,0 days 00:00:00.024654,0 days 00:00:24.292221,0 days 00:00:00.481106,0 days 00:00:23.805013,0 days 00:00:00.027475
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.2,magnitude,0.0,dense,0.0534,0.0009784,-0.007,10,10,1.0,0 days 00:00:26.734486,0 days 00:00:00.399971,0 days 00:00:26.305984,0 days 00:00:00.028531,0 days 00:00:00.231728,0 days 00:00:00.011805,0 days 00:00:00.230204,0 days 00:00:00.003202,0.035,-0.217,0.039,0.049,0 days 00:00:26.360838,0 days 00:00:00.388299,0 days 00:00:25.928571,0 days 00:00:00.025588,0 days 00:00:27.123954,0 days 00:00:00.430893,0 days 00:00:26.705939,0 days 00:00:00.036191
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.2,magnitude_regrow,0.0,dense,0.0561,0.0021952,-0.054,10,10,1.0,0 days 00:00:34.871913,0 days 00:00:00.424057,0 days 00:00:34.402075,0 days 00:00:00.045781,0 days 00:00:03.058090,0 days 00:00:00.018788,0 days 00:00:03.048737,0 days 00:00:00.017365,-0.207,-0.261,-0.206,-0.346,0 days 00:00:29.600567,0 days 00:00:00.401000,0 days 00:00:29.162518,0 days 00:00:00.035569,0 days 00:00:37.857049,0 days 00:00:00.459389,0 days 00:00:37.365879,0 days 00:00:00.095120
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.2,magnitude_regrow_decay,0.0,dense,0.0576,0.003591,-0.079,10,10,1.0,0 days 00:00:42.822826,0 days 00:00:00.538852,0 days 00:00:42.234748,0 days 00:00:00.049226,0 days 00:00:05.381576,0 days 00:00:00.162509,0 days 00:00:05.274397,0 days 00:00:00.008179,-0.354,-0.418,-0.353,-0.392,0 days 00:00:36.368586,0 days 00:00:00.420391,0 days 00:00:35.908409,0 days 00:00:00.036812,0 days 00:00:49.955928,0 days 00:00:00.869829,0 days 00:00:49.032849,0 days 00:00:00.060079
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.2,random,0.0,dense,0.0536,0.0013581,-0.009,10,10,1.0,0 days 00:00:29.447033,0 days 00:00:00.388391,0 days 00:00:29.027046,0 days 00:00:00.031596,0 days 00:00:00.460212,0 days 00:00:00.012026,0 days 00:00:00.462448,0 days 00:00:00.003424,-0.06,-0.193,-0.059,-0.053,0 days 00:00:28.922704,0 days 00:00:00.371704,0 days 00:00:28.475922,0 days 00:00:00.027165,0 days 00:00:30.293008,0 days 00:00:00.415973,0 days 00:00:29.880985,0 days 00:00:00.037524
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.2,random_regrow,0.0,dense,0.0574,0.0012572,-0.076,10,10,1.0,0 days 00:00:29.428462,0 days 00:00:00.369851,0 days 00:00:29.024697,0 days 00:00:00.033914,0 days 00:00:00.163361,0 days 00:00:00.013107,0 days 00:00:00.161438,0 days 00:00:00.001550,-0.06,-0.153,-0.059,-0.118,0 days 00:00:29.269401,0 days 00:00:00.354670,0 days 00:00:28.874398,0 days 00:00:00.031430,0 days 00:00:29.863791,0 days 00:00:00.399663,0 days 00:00:29.448353,0 days 00:00:00.036334
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.2,random_regrow_decay,0.0,dense,0.0534,0.0008176,-0.007,10,10,1.0,0 days 00:00:36.192695,0 days 00:00:00.399822,0 days 00:00:35.749738,0 days 00:00:00.043134,0 days 00:00:00.214695,0 days 00:00:00.027102,0 days 00:00:00.224981,0 days 00:00:00.003269,-0.236,-0.216,-0.236,-0.306,0 days 00:00:35.914727,0 days 00:00:00.382382,0 days 00:00:35.398165,0 days 00:00:00.037468,0 days 00:00:36.579751,0 days 00:00:00.478926,0 days 00:00:36.141361,0 days 00:00:00.048813
spam,0.2,MCAR,0,128,0.9,100.0,10000,0.4,GraSP,0.0,dense,0.0536,0.0018529,-0.01,10,10,1.0,0 days 00:00:26.938276,0 days 00:00:00.598409,0 days 00:00:26.311142,0 days 00:00:00.028725,0 days 00:00:00.204163,0 days 00:00:00.003980,0 days 00:00:00.203210,0 days 00:00:00.001706,0.027,-0.476,0.038,0.042,0 days 00:00:26.689710,0 days 00:00:00.590682,0 days 00:00:26.069500,0 days 00:00:00.026350,0 days 00:00:27.366385,0 days 00:00:00.602810,0 days 00:00:26.735439,0 days 00:00:00.031167
