dataset,miss_rate,method,init,sparsity,n_nearest_features,rmse_0,rmse_1,rmse_2,rmse_3,rmse_4,rmse_5,rmse_6,rmse_7,rmse_8,rmse_9,rmse_mean,rmse_sd,flops,successes,failures,success_rate,failure_rate
CIFAR10,0.2,GAIN,Dense,0.0,,0.1102,,,,,,,,,,0.1102,0.0000000,75512832,1,10,0.0909,0.9091
CIFAR10,0.2,GAIN,ER,0.6,,,,,,,,,,,,,,,0,7,0.0000,1.0000
CIFAR10,0.2,GAIN,ER,0.8,,,,,,,,,,,,,,,0,7,0.0000,1.0000
CIFAR10,0.2,GAIN,ER,0.9,,0.5836,0.5836,,,,,,,,,0.5836,0.0000000,7567698,2,14,0.1250,0.8750
CIFAR10,0.2,GAIN,ER,0.95,,0.5836,0.5836,0.5836,0.5836,,,,,,,0.5836,0.0000000,3793264,4,7,0.3636,0.6364
CIFAR10,0.2,GAIN,ER,0.99,,,,,,,,,,,,,,,0,7,0.0000,1.0000
CIFAR10,0.2,GAIN,ERRW,0.6,,,,,,,,,,,,,,,0,3,0.0000,1.0000
CIFAR10,0.2,GAIN,ERRW,0.8,,0.0863,0.0867,,,,,,,,,0.0865,0.0002000,15124446,2,3,0.4000,0.6000
CIFAR10,0.2,GAIN,ERRW,0.9,,0.0903,,,,,,,,,,0.0903,0.0000000,7567698,1,2,0.3333,0.6667
CIFAR10,0.2,GAIN,ERRW,0.95,,0.0908,0.0911,,,,,,,,,0.0910,0.0001500,3793264,2,2,0.5000,0.5000
CIFAR10,0.2,GAIN,ERRW,0.99,,0.0938,0.0953,0.0954,,,,,,,,0.0948,0.0007318,769949,3,4,0.4286,0.5714
CIFAR10,0.2,GAIN,Random,0.6,,0.0832,0.0848,0.0855,0.0863,0.0866,,,,,,0.0853,0.0012156,30214349,5,13,0.2778,0.7222
CIFAR10,0.2,GAIN,Random,0.8,,0.0873,0.088,0.0882,0.089,0.089,,,,,,0.0883,0.0006450,15114855,5,17,0.2273,0.7727
CIFAR10,0.2,GAIN,Random,0.9,,0.0892,0.09,0.0901,0.0911,0.0933,,,,,,0.0907,0.0014151,7565108,5,10,0.3333,0.6667
CIFAR10,0.2,GAIN,Random,0.95,,0.0911,0.0916,0.092,0.0928,0.0938,,,,,,0.0923,0.0009499,3790234,5,8,0.3846,0.6154
CIFAR10,0.2,GAIN,Random,0.99,,0.0928,0.0949,0.0965,0.0974,0.1012,,,,,,0.0966,0.0027976,770335,5,10,0.3333,0.6667
CIFAR10,0.2,IterativeImputer,,0.0,100.0,0.0779,0.0779,0.078,0.0783,0.0786,,,,,,0.0781,0.0002728,,5,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,Dense,0.0,,0.1043,0.1051,0.1051,0.1057,0.1057,0.1057,0.1062,0.1068,0.1073,0.1082,0.1060,0.0010949,4921168,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,ER,0.6,,,,,,,,,,,,,,,0,20,0.0000,1.0000
FashionMNIST,0.2,GAIN,ER,0.8,,,,,,,,,,,,,,,0,20,0.0000,1.0000
FashionMNIST,0.2,GAIN,ER,0.9,,,,,,,,,,,,,,,0,20,0.0000,1.0000
FashionMNIST,0.2,GAIN,ER,0.95,,,,,,,,,,,,,,,0,20,0.0000,1.0000
FashionMNIST,0.2,GAIN,ER,0.99,,,,,,,,,,,,,,,0,20,0.0000,1.0000
FashionMNIST,0.2,GAIN,ERRW,0.6,,0.1048,0.1055,0.1055,0.1057,0.1059,0.106,0.1062,0.1066,0.1067,0.1068,0.1060,0.0005967,1971388,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,ERRW,0.8,,0.1003,0.1004,0.1005,0.101,0.1011,0.1013,0.1016,0.102,0.1022,0.1028,0.1013,0.0007884,989438,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,ERRW,0.9,,0.0975,0.0975,0.0976,0.0976,0.0976,0.0981,0.0982,0.099,0.0992,0.0995,0.0982,0.0007346,495659,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,ERRW,0.95,,0.0969,0.097,0.0971,0.0975,0.0975,0.0976,0.0976,0.0978,0.0982,0.099,0.0976,0.0005896,249334,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,ERRW,0.99,,0.097,0.0972,0.0973,0.0973,0.0977,0.0977,0.097,0.0981,0.0982,0.0985,0.0976,0.0005000,52825,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,Random,0.6,,0.1039,0.105,0.105,0.1062,0.1066,0.1067,0.1068,0.1069,0.1069,0.1072,0.1061,0.0010419,1970820,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,Random,0.8,,0.1006,0.1007,0.101,0.1012,0.1013,0.1017,0.101,0.102,0.1022,0.1024,0.1014,0.0005991,987370,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,Random,0.9,,0.0977,0.0977,0.0977,0.0978,0.0984,0.0987,0.0992,0.0993,0.0993,0.0997,0.0985,0.0007513,495645,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,Random,0.95,,0.0975,0.0977,0.0978,0.098,0.0981,0.0982,0.0986,0.0987,0.0988,0.099,0.0982,0.0004841,249783,10,0,1.0000,0.0000
FashionMNIST,0.2,GAIN,Random,0.99,,0.0974,0.0976,0.0977,0.0982,0.0984,0.0985,0.0988,0.0989,0.099,0.0992,0.0984,0.0005984,53093,10,0,1.0000,0.0000
FashionMNIST,0.2,IterativeImputer,,0.0,100.0,0.1073,0.1077,0.1077,0.1081,0.1082,0.1083,0.1083,0.1087,0.1088,0.109,0.1082,0.0005088,,10,0,1.0000,0.0000
health,0.2,GAIN,Dense,0.0,,0.2067,0.2081,0.2136,0.2188,0.2244,0.2245,0.2271,0.2383,0.2442,0.2489,0.2255,0.0138150,318,10,15,0.4000,0.6000
health,0.2,GAIN,ER,0.6,,0.2289,0.2346,0.2352,0.2354,0.2373,0.2401,0.2422,0.2448,0.2504,0.2552,0.2404,0.0075450,158,10,16,0.3846,0.6154
health,0.2,GAIN,ER,0.8,,0.2271,0.2345,0.2386,0.2386,0.2394,0.2409,0.2471,0.25,0.2508,0.2523,0.2419,0.0076344,108,10,8,0.5556,0.4444
health,0.2,GAIN,ER,0.9,,0.2069,0.207,0.2075,0.2081,0.2093,0.2096,0.2098,0.2104,0.2108,0.2112,0.2091,0.0015021,60,10,8,0.5556,0.4444
health,0.2,GAIN,ER,0.95,,0.217,0.2171,0.2173,0.2174,0.2174,0.2175,0.2176,0.2179,0.2179,0.2248,0.2182,0.0022210,42,10,14,0.4167,0.5833
health,0.2,GAIN,ER,0.99,,0.2293,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2294,0.2295,0.2294,0.0000447,32,10,12,0.4545,0.5455
health,0.2,GAIN,ERRW,0.6,,0.2141,0.2141,0.2157,0.2177,0.219,0.2193,0.2272,0.2319,0.2323,0.2342,0.2225,0.0075911,158,10,16,0.3846,0.6154
