dataset,miss_rate,method,init,sparsity,n_nearest_features,successes,failures
spam,0.2,GAIN,Dense,0.0,,10,6
spam,0.2,GAIN,Random,0.6,,10,14
spam,0.2,GAIN,Random,0.8,,10,7
spam,0.2,GAIN,Random,0.9,,10,4
spam,0.2,GAIN,Random,0.95,,10,9
spam,0.2,GAIN,Random,0.99,,10,7
spam,0.2,GAIN,ER,0.6,,0,30
spam,0.2,GAIN,ER,0.8,,0,24
spam,0.2,GAIN,ER,0.9,,0,20
spam,0.2,GAIN,ER,0.95,,0,20
spam,0.2,GAIN,ER,0.99,,10,7
letter,0.2,GAIN,Dense,0.0,,10,4
letter,0.2,GAIN,Random,0.6,,10,4
letter,0.2,GAIN,Random,0.8,,10,3
letter,0.2,GAIN,Random,0.9,,10,2
letter,0.2,GAIN,Random,0.95,,10,1
letter,0.2,GAIN,Random,0.99,,10,0
letter,0.2,GAIN,ER,0.6,,0,20
letter,0.2,GAIN,ER,0.8,,0,20
letter,0.2,GAIN,ER,0.9,,10,1
letter,0.2,GAIN,ER,0.95,,10,0
letter,0.2,GAIN,ER,0.99,,10,1
spam,0.2,IterativeImputer,,0.0,,10,0
letter,0.2,IterativeImputer,,0.0,,10,0
spam,0.2,IterativeImputerRF,,0.0,,10,0
letter,0.2,IterativeImputerRF,,0.0,,10,0
FashionMNIST,0.2,GAIN,Dense,0.0,,10,0
FashionMNIST,0.2,GAIN,Random,0.6,,10,0
FashionMNIST,0.2,GAIN,Random,0.8,,10,0
FashionMNIST,0.2,GAIN,Random,0.9,,10,0
FashionMNIST,0.2,GAIN,Random,0.95,,10,0
FashionMNIST,0.2,GAIN,Random,0.99,,10,0
FashionMNIST,0.2,GAIN,ER,0.6,,0,20
FashionMNIST,0.2,GAIN,ER,0.8,,0,20
FashionMNIST,0.2,GAIN,ER,0.9,,0,20
FashionMNIST,0.2,GAIN,ER,0.95,,0,20
FashionMNIST,0.2,GAIN,ER,0.99,,0,20
spam,0.2,GAIN,ERRW,0.6,,10,7
spam,0.2,GAIN,ERRW,0.8,,10,5
spam,0.2,GAIN,ERRW,0.9,,10,3
spam,0.2,GAIN,ERRW,0.95,,10,3
spam,0.2,GAIN,ERRW,0.99,,10,4
letter,0.2,GAIN,ERRW,0.6,,10,0
letter,0.2,GAIN,ERRW,0.8,,10,4
letter,0.2,GAIN,ERRW,0.9,,10,3
letter,0.2,GAIN,ERRW,0.95,,10,9
letter,0.2,GAIN,ERRW,0.99,,10,0
FashionMNIST,0.2,GAIN,ERRW,0.6,,10,0
FashionMNIST,0.2,GAIN,ERRW,0.8,,10,0
FashionMNIST,0.2,GAIN,ERRW,0.9,,10,0
FashionMNIST,0.2,GAIN,ERRW,0.95,,10,0
FashionMNIST,0.2,GAIN,ERRW,0.99,,10,0
FashionMNIST,0.2,IterativeImputer,,0.0,100.0,10,0
health,0.2,GAIN,Dense,0.0,,10,15
health,0.2,GAIN,Random,0.6,,10,24
health,0.2,GAIN,Random,0.8,,10,10
health,0.2,GAIN,Random,0.9,,10,9
health,0.2,GAIN,Random,0.95,,10,14
health,0.2,GAIN,Random,0.99,,10,19
health,0.2,GAIN,ER,0.6,,10,16
health,0.2,GAIN,ER,0.8,,10,8
health,0.2,GAIN,ER,0.9,,10,8
health,0.2,GAIN,ER,0.95,,10,14
health,0.2,GAIN,ER,0.99,,10,12
health,0.2,GAIN,ERRW,0.6,,10,16
health,0.2,GAIN,ERRW,0.8,,10,11
health,0.2,GAIN,ERRW,0.9,,10,22
health,0.2,GAIN,ERRW,0.95,,10,15
health,0.2,GAIN,ERRW,0.99,,10,24
health,0.2,IterativeImputer,,0.0,,10,0
health,0.2,IterativeImputerRF,,0.0,,10,0
CIFAR10,0.2,GAIN,Dense,0.0,,1,10
CIFAR10,0.2,GAIN,Random,0.6,,1,6
CIFAR10,0.2,GAIN,Random,0.8,,3,4
CIFAR10,0.2,GAIN,Random,0.9,,2,5
CIFAR10,0.2,GAIN,Random,0.95,,4,3
CIFAR10,0.2,GAIN,Random,0.99,,3,4
CIFAR10,0.2,GAIN,ER,0.6,,0,7
CIFAR10,0.2,GAIN,ER,0.8,,0,3
CIFAR10,0.2,GAIN,ER,0.9,,1,2
CIFAR10,0.2,GAIN,ER,0.95,,2,1
CIFAR10,0.2,GAIN,ER,0.99,,0,3
CIFAR10,0.2,GAIN,ERRW,0.6,,0,3
CIFAR10,0.2,GAIN,ERRW,0.8,,2,3
CIFAR10,0.2,GAIN,ERRW,0.9,,1,2
CIFAR10,0.2,GAIN,ERRW,0.95,,2,2
CIFAR10,0.2,GAIN,ERRW,0.99,,1,2
